City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermitage,41.23,-80.45,69.01,72,75,5.82,US,1601172731
Nome,64.5,-165.41,42.8,41,20,9.17,US,1601172731
Kotelnikowo,47.63,43.15,54.88,45,46,16.44,RU,1601172731
Sitka,57.05,-135.33,55.4,76,75,6.93,US,1601172732
Kudahuvadhoo,2.67,72.89,83.08,70,99,7.7,MV,1601172732
Tselinnoye,53.08,85.67,40.82,89,15,3.09,RU,1601172732
Shīeli,44.17,66.75,48.63,51,0,19.13,KZ,1601172732
Mahon,39.89,4.27,71.6,60,71,25.28,ES,1601172733
Poronaysk,49.22,143.12,54.12,66,100,11.39,RU,1601172733
Nyköping,58.75,17.01,57.2,100,90,9.17,SE,1601172733
Hambantota,6.12,81.12,77.0,100,20,4.7,LK,1601172733
Lakshettipet,18.87,79.22,76.53,88,100,6.55,IN,1601172734
Panzhihua,26.59,101.71,66.99,80,98,0.29,CN,1601172734
Svetlaya,46.54,138.33,56.73,72,98,16.49,RU,1601172734
San Roque,36.21,-5.38,69.8,64,0,12.75,ES,1601172734
Simga,21.63,81.7,78.8,94,20,6.93,IN,1601172692
Laas,46.62,10.7,37.99,65,40,3.36,IT,1601172617
Burnie,-41.07,145.92,57.99,55,5,18.99,AU,1601172735
Salinópolis,-0.61,-47.36,79.03,80,100,12.37,BR,1601172735
Cam Ranh,11.92,109.16,78.8,94,75,2.24,VN,1601172631
Bairiki Village,1.33,172.98,87.8,62,40,9.17,KI,1601172736
Aksarka,66.56,67.8,45.16,89,32,9.26,RU,1601172736
Xining,36.62,101.77,56.53,60,100,1.59,CN,1601172490
Madang,-5.22,145.8,84.81,72,100,3.91,PG,1601172736
Ouésso,1.61,16.05,70.72,94,100,3.27,CG,1601172737
Provincia di Taranto,40.62,17.25,61.0,71,40,8.05,IT,1601172737
Tonantins,-2.87,-67.8,74.07,83,0,1.63,BR,1601172737
Dukat,62.55,155.55,46.29,53,0,8.63,RU,1601172737
Fayaoué,-20.65,166.53,76.14,78,0,3.2,NC,1601172737
Saint Anthony,45.02,-93.22,63.0,87,90,10.29,US,1601172738
Klaksvík,62.23,-6.59,44.6,87,100,9.17,FO,1601172738
Mitsamiouli,-11.38,43.28,76.39,79,47,14.47,KM,1601172738
Katsuura,35.13,140.3,70.0,82,100,1.99,JP,1601172696
Deputatsky,69.3,139.9,44.17,60,86,7.05,RU,1601172739
Noumea,-22.28,166.46,80.6,65,90,3.36,NC,1601172541
Makurdi,7.74,8.51,71.83,97,100,1.88,NG,1601172739
Emba,48.83,58.14,44.37,59,0,8.84,KZ,1601172739
Springdale,36.19,-94.13,69.8,83,1,5.82,US,1601172739
Charters Towers,-20.1,146.27,85.44,25,0,4.97,AU,1601172740
Tubualá,9.52,-79.03,78.01,94,75,2.24,PA,1601172740
Kismayo,-0.36,42.55,77.41,83,79,8.7,SO,1601172740
Salamiyah,35.01,37.05,62.62,86,0,4.63,SY,1601172740
Liverpool,53.41,-2.98,48.2,70,0,17.22,GB,1601172740
Port Lincoln,-34.73,135.87,55.98,65,0,15.99,AU,1601172741
Airai,-8.93,125.41,78.22,38,65,5.95,TL,1601172741
Tilichiki,60.47,166.1,41.72,60,0,2.1,RU,1601172741
Nizwá,22.93,57.53,76.23,41,0,0.67,OM,1601172741
Karratha,-20.74,116.85,84.43,19,0,0.76,AU,1601172742
Saryozek,44.36,77.98,44.37,54,100,0.76,KZ,1601172742
Kiama,-34.68,150.87,64.0,56,41,8.01,AU,1601172742
Alto Piquiri,-24.03,-53.44,76.57,42,0,7.56,BR,1601172742
Solnechnyy,50.72,136.63,59.22,61,0,5.88,RU,1601172742
Zhicheng,30.3,111.5,73.99,80,97,2.73,CN,1601172743
Haysville,37.56,-97.35,80.6,47,0,16.11,US,1601172743
Sampit,-2.53,112.95,84.38,73,91,0.58,ID,1601172743
Siguiri,11.67,-9.5,72.64,86,88,0.43,GN,1601172743
Mnogovershinnyy,53.94,139.92,53.98,75,38,4.83,RU,1601172743
Raudeberg,61.99,5.14,46.99,85,0,10.67,NO,1601172744
Broome,42.25,-75.83,64.99,93,90,6.93,US,1601172744
Camaná,-16.62,-72.71,60.15,76,21,7.34,PE,1601172744
Marsaxlokk,35.84,14.54,69.01,63,20,3.36,MT,1601172744
São João da Barra,-21.64,-41.05,73.67,87,0,17.85,BR,1601172745
Alofi,-19.06,-169.92,77.0,73,53,18.34,NU,1601172745
Ensley,30.52,-87.27,79.0,83,1,6.93,US,1601172745
Hofn,64.25,-15.21,48.78,96,100,7.14,IS,1601172745
Saint-Joseph,-21.37,55.62,66.2,59,17,6.93,RE,1601172745
Verkh-Chebula,56.03,87.62,41.97,90,100,5.77,RU,1601172746
Hobyo,5.35,48.53,76.96,85,95,20.85,SO,1601172746
Casas Grandes,30.37,-107.95,75.99,28,12,9.44,MX,1601172746
Vardø,70.37,31.11,41.85,67,8,12.1,NO,1601172746
Port Macquarie,-31.43,152.92,70.0,23,0,1.01,AU,1601172459
Mandera,3.94,41.87,76.87,61,0,10.0,KE,1601172747
Los Llanos de Aridane,28.66,-17.92,75.2,73,90,17.22,ES,1601172747
Along,28.17,94.77,72.32,90,100,0.67,IN,1601172747
Ōfunato,39.07,141.72,60.8,93,75,2.24,JP,1601172748
High Level,58.52,-117.14,48.2,100,75,3.36,CA,1601172748
Tiarei,-17.53,-149.33,84.2,70,20,11.41,PF,1601172748
Brocēni,56.7,22.53,57.78,78,22,11.5,LV,1601172748
Brædstrup,55.97,9.61,60.01,93,100,14.99,DK,1601172749
Samarai,-10.62,150.67,79.52,87,67,16.82,PG,1601172749
George Town,5.41,100.34,80.6,78,40,5.82,MY,1601172611
Lima,-12.04,-77.03,61.0,82,40,10.29,PE,1601172561
Khromtau,50.25,58.43,40.46,68,0,5.14,KZ,1601172751
Vila Velha,-20.33,-40.29,77.0,83,0,11.41,BR,1601172751
Gunjur,13.2,-16.73,73.4,100,40,8.86,GM,1601172751
Sokoto,13.06,5.24,79.21,71,100,8.34,NG,1601172751
Pāvilosta,56.89,21.19,60.8,82,47,9.17,LV,1601172752
Palauig,15.44,119.9,86.32,63,73,4.72,PH,1601172752
Newberry,34.27,-81.62,62.01,100,1,3.36,US,1601172752
Simplício Mendes,-7.85,-41.91,77.07,50,96,5.12,BR,1601172752
Yakeshi,49.28,120.73,55.94,67,28,12.33,CN,1601172753
Saint-Pierre,-21.34,55.48,66.2,59,0,6.93,RE,1601172753
Shūshtar,32.05,48.86,78.26,22,0,2.06,IR,1601172753
Romitan,39.93,64.38,48.2,46,0,9.17,UZ,1601172753
São Filipe,14.9,-24.5,81.1,83,55,9.71,CV,1601172753
Yozgat Province,39.58,35.33,59.79,49,0,3.47,TR,1601172754
Keti Bandar,24.14,67.45,81.5,77,25,15.88,PK,1601172754
Pitsunda,43.16,40.34,66.2,72,0,2.24,GE,1601172754
Eastlake,41.65,-81.45,71.6,64,1,3.36,US,1601172755
Jaicós,-7.36,-41.14,77.13,50,56,4.36,BR,1601172755
Sørland,67.67,12.69,44.15,70,2,13.96,NO,1601172755
Urusha,54.05,122.9,50.14,69,0,11.34,RU,1601172756
Zhoucheng,35.91,116.31,78.01,1,39,6.11,CN,1601172756
Karachi,24.91,67.08,80.6,74,40,10.29,PK,1601172756
Riyadh,24.69,46.72,77.0,33,0,2.08,SA,1601172664
Kiryat Gat,31.61,34.76,75.0,75,0,6.73,IL,1601172757
San Patricio,19.22,-104.7,84.2,79,40,1.77,MX,1601172757
Kangaatsiaq,68.31,-53.46,35.85,83,100,19.28,GL,1601172757
Nzérékoré,7.76,-8.82,69.24,98,99,2.37,GN,1601172757
Zarubino,42.63,131.09,62.51,60,0,2.84,RU,1601172758
Dharmābād,18.9,77.85,73.94,90,97,7.45,IN,1601172758
Palamás,39.47,22.08,53.6,81,20,4.7,GR,1601172758
Yelanskiy,56.84,62.5,44.04,93,0,4.97,RU,1601172758
Mahina,-17.51,-149.49,84.2,70,20,11.41,PF,1601172759
Yuli,9.7,10.27,71.96,88,99,3.42,NG,1601172759
Cornwall,45.02,-74.73,60.8,87,1,7.72,CA,1601172759
Koundara,12.48,-13.3,73.17,95,100,4.65,GN,1601172759
Ust-Tsilma,65.44,52.15,50.56,94,99,6.53,RU,1601172760
Nouadhibou,20.93,-17.03,84.72,50,2,21.36,MR,1601172760
Goderich,43.75,-81.72,72.0,73,99,20.76,CA,1601172760
Conakry,9.54,-13.68,79.02,80,100,1.21,GN,1601172757
Mount Gambier,-37.83,140.77,53.6,62,90,6.93,AU,1601172760
Ayan,56.45,138.17,50.04,79,20,4.45,RU,1601172657
Channel-Port aux Basques,47.57,-59.14,55.78,82,78,14.38,CA,1601172761
Trat,12.5,102.5,82.36,84,99,2.51,TH,1601172761
Bathsheba,13.22,-59.52,82.4,83,40,12.75,BB,1601172761
Padang,-0.95,100.35,75.27,80,100,6.33,ID,1601172466
Vanavara,60.34,102.28,42.22,67,0,5.5,RU,1601172762
Paso de Carrasco,-34.86,-56.05,57.0,100,75,6.93,UY,1601172762
Yekaterinovka,52.05,44.35,46.18,58,0,10.89,RU,1601172763
Ponta do Sol,32.67,-17.1,69.8,68,40,14.99,PT,1601172763
Smithtown,40.86,-73.2,69.01,100,75,4.7,US,1601172763
Ures,29.43,-110.4,93.0,39,0,4.0,MX,1601172763
Isola del Liri,41.69,13.58,46.0,94,66,3.22,IT,1601172763
Amga,60.9,131.96,54.57,66,100,10.36,RU,1601172764
Arlit,18.74,7.39,89.49,13,0,5.35,NE,1601172764
Alta Floresta,-9.88,-56.09,72.0,88,24,1.48,BR,1601172765
Rocha,-34.48,-54.33,60.03,97,100,6.06,UY,1601172765
Hīt,33.64,42.83,80.91,36,0,13.6,IQ,1601172765
Hay River,60.82,-115.8,46.4,87,90,3.36,CA,1601172765
Codrington,-38.27,141.97,52.74,59,4,6.78,AU,1601172766
Muros,42.78,-9.06,61.0,94,99,1.01,ES,1601172766
Chrysochorafa,41.18,23.23,64.0,56,0,5.01,GR,1601172767
Sovetskiy,61.36,63.58,47.57,96,4,5.44,RU,1601172768
Oddur,4.12,43.89,70.72,75,13,11.07,SO,1601172768
Casablanca,33.59,-7.62,69.01,93,20,4.7,MA,1601172769
Tomter,59.65,11.0,48.0,92,100,5.01,NO,1601172769
Jerome,42.72,-114.52,59.0,47,1,14.99,US,1601172769
Kuching,1.55,110.33,78.8,88,20,4.7,MY,1601172769
Dakar,14.69,-17.44,77.0,88,20,5.82,SN,1601172719
Cookeville,36.16,-85.5,64.4,100,75,3.36,US,1601172770
Resplendor,-19.33,-41.26,71.44,75,0,2.04,BR,1601172770
Santa Fe,-31.63,-60.7,64.99,82,98,8.99,AR,1601172497
Kings Mountain,35.25,-81.34,64.99,93,1,2.73,US,1601172770
Dekar,-21.53,21.93,56.98,33,0,7.29,BW,1601172771
San Policarpo,12.18,125.51,85.44,73,37,8.57,PH,1601172771
Lorengau,-2.02,147.27,86.38,67,51,9.62,PG,1601172771
Kibala,9.11,18.35,71.37,89,100,2.21,TD,1601172771
Eugene,44.05,-123.09,68.0,60,40,6.93,US,1601172772
Buta,2.79,24.73,69.62,97,99,1.7,CD,1601172772
Simao,22.79,100.97,73.53,82,29,1.72,CN,1601172717
Lohāru,28.45,75.82,80.65,56,0,9.62,IN,1601172772
Aranos,-24.13,19.12,44.19,53,0,3.4,NA,1601172773
Mahibadhoo,3.78,72.97,82.47,71,74,5.86,MV,1601172773
Bud,39.45,-86.18,64.99,88,1,6.93,US,1601172774
Nushki,29.55,66.02,60.1,26,0,1.97,PK,1601172774
Coyhaique,-45.58,-72.07,42.8,75,40,3.36,CL,1601172774
Eganville,45.53,-77.1,69.8,64,1,4.7,CA,1601172774
Koutiala,12.39,-5.46,75.09,79,0,5.97,ML,1601172775
Harper,4.38,-7.72,75.52,90,19,6.04,LR,1601172776
Crotone,39.09,17.12,64.99,61,4,8.72,IT,1601172776
Yashalta,46.34,42.28,60.28,54,1,16.64,RU,1601172776
Ransang,8.96,117.58,85.95,68,65,0.92,PH,1601172777
Puerto Baquerizo Moreno,-0.9,-89.6,66.04,87,4,11.74,EC,1601172777
Hammerfest,70.66,23.68,41.0,65,9,20.8,NO,1601172777
San Vicente de Cañete,-13.08,-76.38,61.56,78,4,1.3,PE,1601172778
Athabasca,54.72,-113.29,49.39,61,0,10.29,CA,1601172778
Zhezkazgan,47.8,67.71,41.47,80,0,13.71,KZ,1601172778
Mâncio Lima,-7.61,-72.9,77.02,72,0,3.27,BR,1601172779
Shirokiy,49.76,129.52,59.94,75,71,14.09,RU,1601172779
Phitsanulok,16.92,100.5,89.01,74,100,1.12,TH,1601172779
Molteno,-31.4,26.36,31.68,91,0,4.29,ZA,1601172779
Puerto Madryn,-42.77,-65.04,54.52,50,94,6.31,AR,1601172779
Sawākin,19.11,37.33,84.25,65,0,8.68,SD,1601172780
Oistins,13.07,-59.53,82.4,83,40,12.75,BB,1601172780
Bandarbeyla,9.49,50.81,76.35,78,2,20.8,SO,1601172780
Port Hardy,50.7,-127.42,55.4,87,40,2.24,CA,1601172781
Tadine,-21.55,167.88,78.44,76,40,7.38,NC,1601172781
Isangel,-19.55,169.27,82.4,74,75,6.93,VU,1601172781
Kathu,7.92,98.33,84.99,74,40,12.75,TH,1601172781
Bowen,-20.02,148.23,80.6,57,0,14.99,AU,1601172490
Sola,-13.88,167.55,80.28,79,91,18.95,VU,1601172782
Kyren,51.68,102.14,43.47,64,90,1.77,RU,1601172782
San Cristobal,7.77,-72.22,66.15,81,73,1.41,VE,1601172782
San Joaquin,10.26,-67.79,73.15,87,72,3.04,VE,1601172783
Talnakh,69.49,88.4,39.2,93,75,20.13,RU,1601172783
Maţāy,28.42,30.78,72.27,60,0,7.49,EG,1601172783
Bonavista,48.65,-53.11,52.11,74,98,9.15,CA,1601172783
Nemuro,43.32,145.57,57.2,93,75,14.99,JP,1601172784
Itarema,-2.92,-39.92,77.0,83,52,15.1,BR,1601172785
Kavaratti,10.57,72.64,81.5,79,91,7.65,IN,1601172785
Abay,49.63,72.85,37.4,93,90,11.18,KZ,1601172785
Shimoda,34.67,138.95,68.0,94,75,10.29,JP,1601172785
Poum,-20.23,164.02,75.25,85,9,7.99,NC,1601172785
Wattegama,6.8,81.48,77.0,100,20,4.7,LK,1601172786
Dumas,35.87,-101.97,82.99,19,1,4.32,US,1601172786
Alacranes,22.77,-81.57,73.4,100,75,6.93,CU,1601172786
Taoudenni,22.68,-3.98,93.31,11,0,6.15,ML,1601172786
Kokopo,-4.35,152.26,86.27,62,0,5.93,PG,1601172787
Cheremisinovo,51.89,37.26,56.35,38,0,15.57,RU,1601172787
Sedona,34.87,-111.76,80.6,24,1,10.29,US,1601172787
Banting,2.82,101.5,78.8,88,20,3.36,MY,1601172607
Kachug,53.96,105.88,43.45,76,80,9.01,RU,1601172787
Dunedin,-45.87,170.5,53.01,57,61,21.0,NZ,1601172609
Mukhen,48.1,136.1,64.69,48,9,0.67,RU,1601172788
Tateyama,34.98,139.87,73.0,94,75,10.29,JP,1601172788
Tuzha,57.61,47.94,45.79,81,70,5.28,RU,1601172788
Belen,36.49,36.22,78.8,65,0,12.75,TR,1601172788
Coquimbo,-29.95,-71.34,53.6,76,0,5.82,CL,1601172789
Olafsvik,64.89,-23.71,46.81,91,46,12.77,IS,1601172789
Uyemskiy,64.47,40.85,55.4,82,20,2.24,RU,1601172790
Saint George,37.1,-113.58,87.01,10,1,6.93,US,1601172790
Alexandria,31.22,29.96,77.0,78,0,2.24,EG,1601172790
Constitución,-35.33,-72.42,48.76,79,0,8.37,CL,1601172790
Kalmunai,7.42,81.82,80.92,77,25,5.7,LK,1601172790
Faya,18.39,42.45,64.4,29,0,5.3,SA,1601172791
Ilhabela,-23.78,-45.36,71.91,84,8,6.76,BR,1601172791
Khor,47.89,134.95,61.18,60,0,0.67,RU,1601172791
Vicksburg,32.35,-90.88,69.8,100,1,1.95,US,1601172791
Batagay-Alyta,67.8,130.41,40.03,70,100,1.43,RU,1601172792
Road Town,18.42,-64.62,82.99,86,0,8.01,VG,1601172792
Necochea,-38.55,-58.74,54.0,99,100,10.0,AR,1601172792
Marawi,8.0,124.29,82.99,75,2,3.0,PH,1601172792
Qaqortoq,60.72,-46.03,37.4,51,0,9.17,GL,1601172792
Yar-Sale,66.83,70.83,43.81,94,56,5.93,RU,1601172793
Pacific Grove,36.62,-121.92,69.01,87,0,5.01,US,1601172793
Mount Hagen,-5.86,144.23,72.52,67,73,3.65,PG,1601172793
Esim,4.87,-2.24,74.44,93,94,6.93,GH,1601172793
Volary,48.91,13.89,46.0,94,86,1.01,CZ,1601172793
Jaumave,23.42,-99.38,82.0,53,0,1.99,MX,1601172794
Leshukonskoye,64.9,45.76,53.83,90,53,6.44,RU,1601172794
Itoman,26.12,127.67,75.2,73,75,6.93,JP,1601172794
Saint-François,46.42,3.91,46.4,81,75,6.93,FR,1601172795
Marzuq,14.4,46.47,76.15,52,0,2.15,YE,1601172795
Adrano,37.66,14.83,64.4,59,49,12.75,IT,1601172795
Pueblo Nuevo,23.38,-105.38,60.19,97,14,2.73,MX,1601172795
Plettenberg Bay,-34.05,23.37,47.77,73,13,9.53,ZA,1601172795
Jieshou,33.26,115.36,73.54,69,26,9.22,CN,1601172796
Kangaba,11.93,-8.42,72.99,84,37,1.83,ML,1601172796
Tarakan,3.3,117.63,81.5,76,88,5.5,ID,1601172796
Ovalle,-30.6,-71.2,50.14,66,0,1.34,CL,1601172796
Nefteyugansk,61.1,72.6,42.8,100,100,2.24,RU,1601172797
Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,35,0,6.71,RU,1601172553
Perth,-31.93,115.83,66.99,63,20,4.7,AU,1601172794
Kloulklubed,7.04,134.26,82.4,88,75,5.82,PW,1601172797
Gayny,60.31,54.32,43.81,96,1,4.14,RU,1601172797
Touros,-5.2,-35.46,73.4,88,20,4.7,BR,1601172798
Luganville,-15.53,167.17,84.2,74,40,8.05,VU,1601172798
Sterling,39.01,-77.43,66.99,93,84,1.97,US,1601172799
Parnamirim,-5.92,-35.26,75.2,78,20,6.93,BR,1601172799
Itanagar,27.1,93.62,75.51,90,100,0.85,IN,1601172690
Vinh,18.67,105.67,84.11,78,100,1.99,VN,1601172693
Caravelas,-17.71,-39.25,69.89,90,3,4.83,BR,1601172799
Mareeba,-17.0,145.43,88.0,33,95,11.99,AU,1601172800
Río Gallegos,-51.62,-69.22,44.6,52,90,12.75,AR,1601172800
Narrabri,-30.32,149.78,62.6,34,0,9.17,AU,1601172800
Ancud,-41.87,-73.82,48.99,93,48,5.59,CL,1601172800
Roblin,51.23,-101.36,50.43,92,100,10.42,CA,1601172801
Marsh Harbour,26.54,-77.06,82.78,76,0,8.3,BS,1601172801
Bahía Blanca,-38.72,-62.27,56.86,55,100,6.26,AR,1601172801
Nikolskoye,59.7,30.79,54.0,93,0,6.71,RU,1601172802
Port Moresby,-9.44,147.18,89.6,62,40,17.22,PG,1601172555
Cajamarca,-7.16,-78.5,55.26,76,100,1.25,PE,1601172802
Erzurum Province,40.0,41.5,44.6,93,0,3.36,TR,1601172802
Muravlenko,63.79,74.52,48.74,96,100,10.56,RU,1601172802
Batagay,67.63,134.63,40.91,83,100,5.06,RU,1601172803
Røros,62.57,11.38,37.4,100,95,2.82,NO,1601172803
Severnyy,50.68,36.55,59.0,41,0,15.66,RU,1601172803
Tefé,-3.35,-64.71,72.57,96,100,1.81,BR,1601172803
Udachny,66.42,112.4,32.0,77,90,6.71,RU,1601172804
Tomatlán,19.93,-105.25,78.44,83,40,1.01,MX,1601172804
